City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
222,coquimbo,75,CL,1518757200,82,-29.95,-71.34,62.6,4.7
223,namibe,68,AO,1518761022,100,-15.19,12.15,76.55,5.77
224,katangli,56,RU,1518761022,100,51.71,143.23,11.8,14.83
225,gorontalo,64,ID,1518761023,75,0.54,123.06,83.21,2.75
226,gigmoto,44,PH,1518761024,100,13.78,124.39,79.16,3.2
227,dalhousie,68,IN,1518761024,64,32.54,75.98,52.03,1.19
228,paita,92,PE,1518761024,99,-5.09,-81.11,72.41,4.65
229,harper,1,US,1518758100,88,30.3,-99.24,64.4,3.36
230,shelburne,1,CA,1518757200,92,44.08,-80.2,39.2,2.24
231,lokosovo,80,RU,1518761025,84,61.13,74.84,3.47,4.21
232,amapa,20,HN,1518760800,100,15.09,-87.97,73.4,3.36
233,touros,92,BR,1518760910,100,-5.2,-35.46,72.77,4.32
234,manga,0,BF,1518760757,32,11.67,-1.07,66.88,10.02
235,cabra,0,ES,1518759000,100,37.47,-4.43,37.4,3.65
236,kapustin yar,56,RU,1518761028,89,48.58,45.77,13.87,11.7
237,necochea,8,AR,1518760939,71,-38.55,-58.74,68.59,15.5
238,marzuq,0,YE,1518761029,60,14.4,46.47,61.25,3.42
239,san cristobal,75,EC,1518757200,93,-0.39,-78.55,51.8,6.93
240,ilulissat,64,GL,1518760200,77,69.22,-51.1,-2.21,10.29
241,dikson,32,RU,1518761031,82,73.51,80.55,-1.62,3.2
242,corrente,12,BR,1518761031,83,-17.45,-44.68,68.05,8.68
243,ardakan,75,IR,1518757200,30,32.31,54.02,53.6,6.93
244,red wing,90,US,1518759360,68,44.56,-92.53,24.8,10.29
245,quime,24,BO,1518761032,97,-16.98,-67.22,48.92,1.19
246,mahebourg,75,MU,1518757200,79,-20.41,57.7,84.2,12.75
247,seoul,0,KR,1518759000,29,37.57,126.98,41.0,9.17
248,plettenberg bay,64,ZA,1518761034,100,-34.05,23.37,66.43,11.03
249,cisterna,64,BR,1518761034,94,-11.93,-41.86,65.44,9.24
250,kharp,24,RU,1518761035,63,66.82,65.8,4.19,7.23
251,morehead,90,US,1518756780,72,38.18,-83.43,66.2,9.17
252,cabo san lucas,32,MX,1518760818,94,22.89,-109.91,74.39,7.23
253,hithadhoo,24,MV,1518761036,100,-0.6,73.08,80.92,2.3
254,grindavik,75,IS,1518759000,74,63.84,-22.43,35.6,29.97
255,oriximina,20,BR,1518760922,96,-1.77,-55.87,74.62,2.42
256,basco,1,US,1518759300,91,40.33,-91.2,37.4,11.41
257,urucui,12,BR,1518761038,98,-7.23,-44.56,66.52,2.64
258,beloha,0,MG,1518761039,52,-25.17,45.06,85.37,4.54
259,bathsheba,40,BB,1518757200,73,13.22,-59.52,77.0,20.8
260,hasaki,75,JP,1518759000,56,35.73,140.83,42.8,10.29
261,bageshwar,0,IN,1518761040,66,29.85,79.77,52.79,2.19
262,tura,0,IN,1518761041,68,25.52,90.21,73.4,5.21
263,rafaela,88,AR,1518761041,48,-31.25,-61.49,79.03,10.58
264,riyadh,0,SA,1518757200,63,24.63,46.72,62.6,3.36
265,daloa,0,CI,1518761042,91,6.88,-6.45,72.86,3.98
266,kitzbuhel,75,AT,1518758400,93,47.45,12.39,35.6,4.7
267,schertz,40,US,1518758220,88,29.56,-98.27,68.0,10.29
268,guiratinga,24,BR,1518760847,78,-16.35,-53.76,73.18,1.74
269,broken hill,0,AU,1518761043,32,-31.97,141.45,84.88,8.68
270,nanortalik,8,GL,1518761044,100,60.14,-45.24,23.32,40.22
271,abha,0,SA,1518757200,29,18.22,42.5,60.8,5.82
272,kamenka,80,RU,1518761045,86,53.19,44.05,9.05,8.23
273,roald,0,NO,1518758400,48,62.58,6.12,39.2,14.99
274,kachiry,80,KZ,1518761045,85,53.07,76.1,11.12,8.23
275,ramos arizpe,5,MX,1518759600,55,25.54,-100.95,60.8,2.3
276,chuy,0,UY,1518760941,88,-33.69,-53.46,66.97,12.59
277,fortuna,0,ES,1518759000,93,38.18,-1.13,46.4,1.12
278,winslow,0,GB,1518760560,86,51.94,-0.88,33.8,9.17
279,palana,32,RU,1518761048,68,59.08,159.95,15.13,3.2
280,pagudpud,40,PH,1518757200,70,18.56,120.79,86.0,9.17
281,great falls,1,US,1518760380,61,47.5,-111.29,17.6,23.04
282,diffa,0,NE,1518761050,40,13.32,12.61,66.29,10.02
283,ishigaki,75,JP,1518758160,94,24.34,124.16,71.6,8.05
284,kochki,32,RU,1518761051,87,54.33,80.49,2.35,6.44
285,pozo colorado,48,PY,1518761051,71,-23.49,-58.8,77.99,7.0
286,tasiilaq,92,GL,1518760200,64,65.61,-37.64,33.8,31.09
287,dunhua,32,CN,1518761052,59,43.37,128.23,13.6,14.83
288,miyako,0,JP,1518759000,66,33.63,130.94,48.2,4.7
289,san juan,75,PR,1518756960,94,18.47,-66.12,73.4,14.99
290,ucluelet,92,CA,1518761054,100,48.94,-125.55,33.04,1.41
291,flinders,75,AU,1518757200,57,-34.58,150.85,75.2,16.11
292,salta,40,AR,1518757200,93,-24.79,-65.41,69.8,2.24
293,north platte,90,US,1518760380,67,41.12,-100.77,17.6,16.11
294,manokwari,8,ID,1518761056,100,-0.87,134.08,82.54,10.36
295,upernavik,44,GL,1518761056,100,72.79,-56.15,-10.17,6.22
296,rathdrum,40,IE,1518760800,80,52.93,-6.23,37.4,8.05
297,sirjan,0,IR,1518760841,54,29.44,55.67,56.89,4.21
298,seryshevo,0,RU,1518761057,71,51.09,128.38,6.44,10.58
299,aranda de duero,88,ES,1518761058,95,41.67,-3.69,41.95,2.75
300,monrovia,75,LR,1518759000,94,6.33,-10.8,75.2,3.36
301,henties bay,100,NA,1518761058,100,-22.12,14.28,63.59,3.76
302,saint george,75,GR,1518758400,75,39.45,22.34,44.6,12.75
303,sao joao da barra,88,BR,1518761060,98,-21.64,-41.05,79.3,8.46
304,mitzic,92,GA,1518761060,99,0.78,11.55,69.8,2.53
305,champerico,5,MX,1518756660,73,16.38,-93.6,69.8,3.42
306,usinsk,80,RU,1518761061,84,66.0,57.56,14.59,11.36
307,staroye drozhzhanoye,32,RU,1518761061,72,54.73,47.56,-2.16,3.09
308,yumen,88,CN,1518761062,94,40.29,97.04,28.67,14.38
309,kaputa,48,ZM,1518761062,95,-8.47,29.66,66.52,2.64
310,lewiston,90,US,1518756960,69,46.42,-117.02,35.6,4.99
311,springdale,20,US,1518757200,82,36.19,-94.13,66.2,12.75
312,abong mbang,8,CM,1518761064,96,3.98,13.18,69.44,3.98
313,coruripe,36,BR,1518761064,100,-10.12,-36.18,78.22,9.24
314,bayan,20,MN,1518761064,67,47.25,107.54,19.49,5.66
315,dombarovskiy,48,RU,1518761065,74,50.76,59.54,-2.97,4.43
316,coihaique,56,CL,1518757200,87,-45.58,-72.07,59.0,4.7
317,derzhavinsk,80,KZ,1518761066,87,51.1,66.31,17.65,7.45
318,uruzgan,0,AF,1518761067,70,32.93,66.63,40.6,2.53
319,sing buri,0,TH,1518761067,53,14.89,100.4,94.82,4.54
320,port keats,64,AU,1518761067,99,-14.25,129.55,81.28,6.44
321,pangnirtung,24,CA,1518761068,55,66.15,-65.72,-32.31,4.65
322,pitanga,0,BR,1518761068,86,-24.76,-51.76,65.08,6.44
323,iquique,20,CL,1518757200,77,-20.22,-70.14,68.0,8.05
324,havoysund,20,NO,1518758400,74,71.0,24.66,28.4,6.93
325,edendale,8,ZA,1518761070,86,-29.65,30.31,67.6,2.98
